file_extension,file_extension
.doc,29306
.docx,9736
.rtf,9353
,8562
.bml,6905
.pdf,6586
.TXT,5226
.txt,5079
.pm,4078
.dct,3556
.TIF,2935
.tif,2455
.png,1921
.jpg,1803
.pod,1365
.JPG,668
.tmp,567
.indd,533
.pmd,455
.gif,351
.PCX,350
.so,303
.DOC,268
.WP,263
.ttf,231
.mo,208
.db,181
.bak,177
.RTF,164
.bat,129
.frm,117
.p65,88
.po,87
.al,82
.PM_,54
.PB_,54
.DAT,52
.jpe,52
.woff,50
.MAD,48
.MAI,48
.ibd,47
.psd,43
.eot,42
.SCN,41
.pdfmarks,40
.ZIP,39
.DCT,34
.woff2,32
.PEC,30
.conf,30
.jpeg,28
.pro,27
.map,26
.enc,26
.sys,25
.lnk,25
.PMD,24
.bkw,23
.BAK,23
.EXE,23
.psb,23
.dist,22
.cpg,22
.ini,20
.ico,20
.TTF,20
.var,19
.TT_,17
.DS_Store,17
.MYD,16
.MYI,16
.afm,15
.mp4,14
.PRO,14
.utxt,13
.PDF,12
.PNG,2
